time,OD600,medium
0,0.09146779907953295,glucose
1,0.09789758864464736,glucose
2,0.08818763946448618,glucose
3,0.09884749451039496,glucose
4,0.1027034205958091,glucose
5,0.1153692800405096,glucose
6,0.12873332197598972,glucose
7,0.15570785298148593,glucose
8,0.18292024004039276,glucose
9,0.23016844643932619,glucose
10,0.29504540597485157,glucose
11,0.360506994950706,glucose
12,0.4197100171087709,glucose
13,0.4833628767598298,glucose
14,0.5161064401083416,glucose
15,0.563281421503956,glucose
16,0.5752452131817434,glucose
17,0.6057004419217631,glucose
18,0.6192918701142979,glucose
19,0.6158063617740369,glucose
20,0.6238434917646397,glucose
21,0.633436503008274,glucose
22,0.6357234665123196,glucose
23,0.6281100095105273,glucose
24,0.6362902492224525,glucose
0,0.09940735638905294,lactose
1,0.09535690065616564,lactose
2,0.09009253931496913,lactose
3,0.09679535279242399,lactose
4,0.10291883766445513,lactose
5,0.09546020899211832,lactose
6,0.12213350667423101,lactose
7,0.12717645123898735,lactose
8,0.13050940029508298,lactose
9,0.17648126069334685,lactose
10,0.20787856920646472,lactose
11,0.24393683765844115,lactose
12,0.28660727504772426,lactose
13,0.33207197412797457,lactose
14,0.3430355143679917,lactose
15,0.3659006625757508,lactose
16,0.3782151494140619,lactose
17,0.37604172531095,lactose
18,0.38277599151643177,lactose
19,0.3940058603977118,lactose
20,0.3910946845034061,lactose
21,0.39995183608837176,lactose
22,0.39436898728345854,lactose
23,0.39247355623305924,lactose
24,0.3962611484026572,lactose
0,0.10104785746891157,control
1,0.0951588129228686,control
2,0.09136940044436023,control
3,0.08763950189747771,control
4,0.0985495082838831,control
5,0.10111991679055046,control
6,0.08474532396607957,control
7,0.09388641530003097,control
8,0.08731361732528038,control
9,0.08705908571493212,control
10,0.08253897655296119,control
11,0.07947123641499264,control
12,0.0788390771991145,control
13,0.06424945008748645,control
14,0.07803815354203865,control
15,0.06699111598928169,control
16,0.07003861179388307,control
17,0.07015125585046952,control
18,0.0746605605734113,control
19,0.06148556104381107,control
20,0.06967968769454069,control
21,0.07154167268430592,control
22,0.06186900886404809,control
23,0.06949361461368234,control
24,0.06201378016586026,control
