time,OD600,medium
0,0.09347633646869416,glucose
1,0.09514846652977604,glucose
2,0.09838962181727286,glucose
3,0.10365344086301188,glucose
4,0.10524709482448824,glucose
5,0.11849643119063868,glucose
6,0.13154485264813262,glucose
7,0.15906104830561965,glucose
8,0.2006052949294482,glucose
9,0.24295021663363042,glucose
10,0.3158404263411154,glucose
11,0.38481533682690594,glucose
12,0.4560918093414118,glucose
13,0.5264329124228638,glucose
14,0.5820012946997731,glucose
15,0.607188108706271,glucose
16,0.6419954733554247,glucose
17,0.6621881155818493,glucose
18,0.6711327065351524,glucose
19,0.6840986221918866,glucose
20,0.6849576504365796,glucose
21,0.6737804539131451,glucose
22,0.687548722830844,glucose
23,0.6851327724975123,glucose
24,0.6857116150186678,glucose
0,0.0936211418791936,lactose
1,0.08649905468077915,lactose
2,0.09620740114582917,lactose
3,0.09928657185439592,lactose
4,0.10499608154594071,lactose
5,0.10472425416275043,lactose
6,0.11377982282910172,lactose
7,0.1254742912970628,lactose
8,0.1393641381379629,lactose
9,0.17751766917475875,lactose
10,0.21207941267178587,lactose
11,0.2558997428702303,lactose
12,0.292831123408025,lactose
13,0.33127386635332906,lactose
14,0.35616005692146335,lactose
15,0.38187535405438505,lactose
16,0.3967215936999731,lactose
17,0.3993121221025417,lactose
18,0.4053593015513897,lactose
19,0.40855891590612675,lactose
20,0.41230542139715254,lactose
21,0.41638359188236596,lactose
22,0.4181808481058101,lactose
23,0.4170392546709682,lactose
24,0.41477820755118244,lactose
0,0.08619410353093249,control
1,0.08140576560517199,control
2,0.09704593787395954,control
3,0.08909514950590879,control
4,0.09652052810496001,control
5,0.08851407373087632,control
6,0.09138440115660384,control
7,0.09025029023313871,control
8,0.09919987636543778,control
9,0.0994181952882039,control
10,0.09947269515573988,control
11,0.10648345719158177,control
12,0.10483723259545107,control
13,0.10831363420906269,control
14,0.10353260512887892,control
15,0.10269457661629447,control
16,0.1098659234813421,control
17,0.10343169041718349,control
18,0.10969254590360641,control
19,0.11680359421804126,control
20,0.11215628543205827,control
21,0.11125235987529579,control
22,0.10850102464805872,control
23,0.11242178511977827,control
24,0.11576061051146205,control
